Brand,Year,Configuration,Strings,Made in,Type,Body Shape,Body Material,Neck Joint,Neck Material,Neck Profile,Scale Size,Frets,Fretboard Material,Number of Frets,Fretboard Radius,Stainless Steel Frets,Nut,Nut Width,Switch,Knobs,Volume Controls,Tone Controls,Top Pickup Brand,Pickups Power,Locking Tuners,Bridge Type,Tremolo,Price
12,12,1,1,3,2,14,2,0,2,1,6,0,6,2,4,1,1,12,3,2,1,1,1,6,1,9,1,1613.5725
12,10,9,1,3,2,14,1,0,2,1,6,0,6,2,4,1,1,12,3,0,1,1,1,8,1,9,1,1742.1600000000003
12,12,9,1,3,2,14,1,0,2,1,6,0,6,2,4,1,1,12,3,0,1,1,1,8,1,9,1,1843.242
12,10,1,1,3,2,14,1,0,2,1,6,0,6,3,4,1,1,12,3,2,1,1,1,6,1,9,1,1728.864
12,13,1,2,3,2,14,1,0,2,1,6,0,6,3,4,1,0,17,3,2,1,1,1,6,1,9,1,1838.6175
12,12,1,1,3,2,14,1,0,2,1,6,0,6,3,4,1,1,12,3,2,1,1,1,6,1,9,1,2139.432
12,13,9,2,3,2,14,1,0,2,1,6,0,6,3,4,1,0,17,3,0,1,1,1,8,1,9,1,1939.79
12,14,1,1,2,2,14,3,0,2,1,6,0,11,3,4,1,9,12,3,2,1,1,1,6,1,9,1,1207.2279999999998
12,13,13,1,3,2,15,1,0,2,1,6,0,6,2,4,1,1,12,1,1,1,1,1,6,1,9,1,2196.54
12,13,13,1,3,2,15,1,0,2,1,6,0,6,2,4,1,1,12,1,1,1,1,1,6,1,9,1,2218.832
18,12,1,1,2,2,2,6,2,2,1,6,7,1,3,8,1,11,2,1,2,2,0,1,1,1,6,1,1386.75
18,9,1,1,5,2,14,2,2,2,1,6,7,1,3,5,1,11,2,1,1,2,1,1,6,0,6,1,1239.795
18,12,1,2,5,2,14,6,2,1,1,8,7,1,3,12,1,11,16,1,1,1,2,1,6,0,6,1,1410.486
18,10,1,2,5,2,14,2,1,2,1,8,7,1,3,5,1,5,18,1,1,1,1,1,1,1,5,0,1271.156
18,10,1,2,5,2,14,2,1,2,1,8,7,1,3,5,1,5,18,1,1,1,1,1,1,1,5,0,1322.958
13,14,7,1,5,2,14,6,1,2,2,6,0,1,3,5,0,11,11,1,1,1,1,1,6,0,6,1,1780.6525
5,13,0,1,2,2,14,6,1,2,8,6,7,1,3,7,1,11,12,0,1,1,0,1,0,0,6,1,849.0450000000001
20,12,1,2,2,2,12,6,1,2,1,6,7,1,3,10,1,7,18,1,1,2,1,1,6,1,4,0,1213.8
4,6,1,2,3,2,14,1,1,2,8,11,7,1,3,4,0,1,18,1,1,1,1,1,1,1,5,0,1970.7033333333336
4,8,1,1,3,2,14,1,1,2,8,6,7,1,3,4,0,1,12,1,1,1,0,1,1,1,5,0,2176.11
4,8,1,1,3,2,14,6,1,2,8,6,7,1,3,4,0,1,12,1,1,1,0,1,1,1,5,0,1899.0
4,13,1,2,3,2,14,1,1,2,8,11,7,1,3,4,0,1,18,1,1,1,1,1,1,1,4,0,2622.4039999999995
12,11,9,1,2,2,14,3,0,2,1,6,0,6,3,4,1,9,12,3,0,1,1,1,8,1,9,1,1358.38
